Mon Jun 10 14:48:54 2024    stats_profiling.raw

         80727910 function calls (80352947 primitive calls) in 260.053 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.086    0.007    0.087    0.007 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:78(__init__)
43390/22712    0.085    0.000    0.107    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:167(_invalidate_internal)
        9    0.085    0.009    0.085    0.009 {method 'copy' of 'ImagingCore' objects}
   333108    0.084    0.000    0.084    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/multiarray.py:153(concatenate)
        9    0.084    0.009    0.084    0.009 {built-in method set_icon}
     4479    0.083    0.000    1.818    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/text.py:918(get_window_extent)
    10944    0.083    0.000    0.111    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/numeric.py:67(zeros_like)
    19642    0.082    0.000    0.130    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/_api/__init__.py:65(check_isinstance)
      464    0.081    0.000    0.127    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/index_tricks.py:147(__getitem__)
     1390    0.079    0.000    6.896    0.005 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/axis.py:1257(_update_ticks)
     3819    0.079    0.000    0.112    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:624(translated)
        3    0.078    0.026    0.079    0.026 {built-in method _imp.create_dynamic}
    22712    0.073    0.000    0.181    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:157(invalidate)
     2002    0.073    0.000    0.175    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/common.py:43(validate_tol)
       25    0.071    0.003    5.037    0.201 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/axes3d.py:472(<lambda>)
    26453    0.071    0.000    0.613    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2421(all)
38403/37198    0.070    0.000    0.345    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/contextlib.py:139(__exit__)
   341592    0.069    0.000    0.069    0.000 {built-in method builtins.id}
     2002    0.069    0.000    5.308    0.003 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/ivp.py:156(solve_ivp)
    10052    0.069    0.000    0.213    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/axes/_base.py:844(<dictcomp>)
     6158    0.068    0.000    1.080    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/text.py:185(_reset_visual_defaults)
     1196    0.067    0.000    0.067    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
