Tue Jun 11 10:06:30 2024    stats_profiling.raw

         81370879 function calls (80985164 primitive calls) in 183.891 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    90428    0.099    0.000    0.099    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:426(__init__)
   461046    0.098    0.000    0.098    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/artist.py:851(get_animated)
    68612    0.097    0.000    0.147    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:1764(__init__)
    39078    0.090    0.000    0.102    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/contextlib.py:102(__init__)
     2158    0.090    0.000    0.632    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/ticker.py:2074(_raw_ticks)
        2    0.087    0.044  113.660   56.830 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/update.py:227(simulate_MG)
     2002    0.084    0.000    5.713    0.003 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/ivp.py:156(solve_ivp)
13052/3263    0.084    0.000    0.753    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/copy.py:227(_deepcopy_dict)
       12    0.083    0.007    0.084    0.007 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:78(__init__)
   113380    0.083    0.000    0.083    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:110(__init__)
       50    0.082    0.002    1.729    0.035 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/collections.py:1175(set_verts)
    25515    0.081    0.000    0.081    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1765(<dictcomp>)
   204151    0.079    0.000    0.079    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/_api/__init__.py:154(<genexpr>)
        9    0.078    0.009    0.078    0.009 {method 'copy' of 'ImagingCore' objects}
   333356    0.077    0.000    0.077    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/multiarray.py:153(concatenate)
     2002    0.075    0.000    0.275    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/least_squares.py:130(check_x_scale)
     3177    0.073    0.000    0.316    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/lines.py:654(recache)
    34307    0.071    0.000    0.492    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:53(_wrapfunc)
        9    0.069    0.008    0.075    0.008 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/backends/backend_macosx.py:107(__init__)
    29430    0.069    0.000    0.167    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:1881(__init__)
6868/6843    0.069    0.000    3.686    0.001 {built-in method builtins.sorted}
     1668    0.067    0.000    2.735    0.002 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/axis.py:58(__init__)
     4705    0.067    0.000    1.362    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/text.py:918(get_window_extent)
    82750    0.067    0.000    0.438    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/artist.py:417(pchanged)
43791/23043    0.066    0.000    0.086    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:167(_invalidate_internal)
       25    0.065    0.003    0.065    0.003 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/art3d.py:984(<listcomp>)
    12113    0.065    0.000    1.019    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/markers.py:327(_set_marker)
   136061    0.065    0.000    0.065    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/multiarray.py:741(dot)
     2002    0.063    0.000    0.627    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/common.py:66(select_initial_step)
        9    0.063    0.007    0.063    0.007 {built-in method set_icon}
        3    0.063    0.021    0.063    0.021 {built-in method _imp.create_dynamic}
     1390    0.062    0.000    4.911    0.004 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/axis.py:1257(_update_ticks)
   375000    0.059    0.000    0.059    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/index_tricks.py:764(__getitem__)
    26798    0.058    0.000    0.406    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2421(all)
      466    0.058    0.000    0.083    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/index_tricks.py:147(__getitem__)
     2227    0.057    0.000    0.128    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/shape_base.py:219(vstack)
   350589    0.056    0.000    0.056    0.000 {built-in method builtins.id}
     1964    0.056    0.000    0.150    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/ticker.py:778(_set_format)
    13585    0.056    0.000    0.128    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:40(_wrapit)
    21446    0.055    0.000    4.299    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/ivp.py:529(<lambda>)
    19817    0.054    0.000    0.093    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/_api/__init__.py:65(check_isinstance)
       25    0.054    0.002    3.661    0.146 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/axes3d.py:472(<lambda>)
81636/76684    0.054    0.000    0.439    0.000 {built-in method builtins.next}
