Tue Jun 11 10:11:33 2024    stats_profiling.raw

         81264732 function calls (80879145 primitive calls) in 221.513 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   204157    0.075    0.000    0.075    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/_api/__init__.py:154(<genexpr>)
     3178    0.073    0.000    0.317    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/lines.py:654(recache)
   333338    0.071    0.000    0.071    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/multiarray.py:153(concatenate)
6868/6843    0.069    0.000    3.633    0.001 {built-in method builtins.sorted}
        9    0.068    0.008    0.068    0.008 {built-in method set_icon}
     1669    0.068    0.000    2.540    0.002 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/axis.py:58(__init__)
    12122    0.067    0.000    1.019    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/markers.py:327(_set_marker)
43767/23021    0.067    0.000    0.086    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:167(_invalidate_internal)
     4685    0.067    0.000    1.369    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/text.py:918(get_window_extent)
     2002    0.066    0.000    0.625    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/common.py:66(select_initial_step)
    29397    0.066    0.000    0.166    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:1881(__init__)
       25    0.064    0.003    0.064    0.003 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/art3d.py:984(<listcomp>)
    82789    0.063    0.000    0.356    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/artist.py:417(pchanged)
   134393    0.062    0.000    0.062    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/multiarray.py:741(dot)
     1390    0.062    0.000    4.917    0.004 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/axis.py:1257(_update_ticks)
    26658    0.059    0.000    0.406    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2421(all)
   375000    0.059    0.000    0.059    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/index_tricks.py:764(__getitem__)
       50    0.058    0.001    0.065    0.001 {scipy.interpolate._rgi_cython.find_indices}
    13577    0.057    0.000    0.129    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:40(_wrapit)
     2227    0.057    0.000    0.132    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/shape_base.py:219(vstack)
        9    0.056    0.006    0.215    0.024 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/backends/backend_macosx.py:148(__init__)
     1964    0.056    0.000    0.151    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/ticker.py:778(_set_format)
   350844    0.056    0.000    0.056    0.000 {built-in method builtins.id}
     2227    0.055    0.000    0.072    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/shape_base.py:81(atleast_2d)
